allotmentName,date,area
13 RANCH,2017-05-01,0
13 RANCH,2017-06-01,0
13 RANCH,2017-09-01,0
13 RANCH,2017-10-01,0
13 RANCH,2017-11-01,1
13 RANCH,2017-12-01,0
13 RANCH,2018-01-01,0
13 RANCH,2018-02-01,0
13 RANCH,2018-03-01,14
13 RANCH,2018-04-01,0
13 RANCH,2018-05-01,0
13 RANCH,2018-06-01,0
13 RANCH,2018-07-01,3
13 RANCH,2018-08-01,2
13 RANCH,2018-09-01,2
13 RANCH,2018-10-01,3
13 RANCH,2018-11-01,3
13 RANCH,2018-12-01,0
13 RANCH,2019-01-01,0
13 RANCH,2019-02-01,0
13 RANCH,2019-03-01,22
13 RANCH,2019-04-01,0
13 RANCH,2019-05-01,0
13 RANCH,2019-08-01,0
13 RANCH,2019-09-01,0
13 RANCH,2019-10-01,0
13 RANCH,2019-11-01,0
13 RANCH,2019-12-01,0
13 RANCH,2020-01-01,0
13 RANCH,2020-03-01,7
13 RANCH,2020-05-01,0
13 RANCH,2020-08-01,0
13 RANCH,2020-09-01,0
13 RANCH,2020-10-01,0
13 RANCH,2020-11-01,2
13 RANCH,2020-12-01,0
13 RANCH,2021-01-01,0
13 RANCH,2021-02-01,0
13 RANCH,2021-03-01,1
13 RANCH,2021-04-01,1
13 RANCH,2021-05-01,0
13 RANCH,2021-06-01,5
13 RANCH,2021-07-01,1
13-MILE ROCK,2013-03-10,0
13-MILE ROCK,2013-03-17,0
13-MILE ROCK,2013-03-24,0
13-MILE ROCK,2013-04-07,0
13-MILE ROCK,2013-04-14,0
13-MILE ROCK,2013-04-21,0
13-MILE ROCK,2013-05-01,0
13-MILE ROCK,2013-05-08,0
13-MILE ROCK,2013-05-15,0
13-MILE ROCK,2013-06-01,0
13-MILE ROCK,2013-06-08,0
13-MILE ROCK,2013-06-15,0
13-MILE ROCK,2013-07-01,0
13-MILE ROCK,2013-07-08,0
13-MILE ROCK,2013-07-15,0
13-MILE ROCK,2013-08-01,0
13-MILE ROCK,2013-08-08,0
13-MILE ROCK,2013-08-15,0
13-MILE ROCK,2013-09-01,0
13-MILE ROCK,2013-09-08,0
13-MILE ROCK,2013-09-15,0
13-MILE ROCK,2013-10-01,0
13-MILE ROCK,2013-10-08,0
13-MILE ROCK,2013-10-15,0
13-MILE ROCK,2013-11-01,0
13-MILE ROCK,2013-11-08,0
13-MILE ROCK,2013-11-15,0
13-MILE ROCK,2014-03-01,0
13-MILE ROCK,2014-03-08,0
13-MILE ROCK,2014-03-15,0
13-MILE ROCK,2014-04-01,0
13-MILE ROCK,2014-04-08,0
13-MILE ROCK,2014-04-15,0
13-MILE ROCK,2014-05-01,0
13-MILE ROCK,2014-05-08,0
13-MILE ROCK,2014-05-15,0
13-MILE ROCK,2014-06-01,0
13-MILE ROCK,2014-06-08,0
13-MILE ROCK,2014-06-15,0
13-MILE ROCK,2014-07-01,0
13-MILE ROCK,2014-07-08,0
13-MILE ROCK,2014-07-15,0
13-MILE ROCK,2014-08-01,0
13-MILE ROCK,2014-08-08,0
13-MILE ROCK,2014-08-15,0
13-MILE ROCK,2014-09-01,0
13-MILE ROCK,2014-09-08,0
13-MILE ROCK,2014-09-15,0
13-MILE ROCK,2014-10-01,0
13-MILE ROCK,2014-10-08,0
13-MILE ROCK,2014-10-15,0
13-MILE ROCK,2014-11-01,0
13-MILE ROCK,2014-11-08,0
13-MILE ROCK,2014-11-15,0
13-MILE ROCK,2015-03-01,0
13-MILE ROCK,2015-04-01,0
13-MILE ROCK,2015-05-01,0
13-MILE ROCK,2015-06-01,0
13-MILE ROCK,2015-07-01,0
13-MILE ROCK,2015-08-01,0
13-MILE ROCK,2015-09-01,7
13-MILE ROCK,2015-10-01,5
13-MILE ROCK,2015-11-01,3
13-MILE ROCK,2016-03-01,8
13-MILE ROCK,2016-04-01,10
13-MILE ROCK,2016-05-01,1
13-MILE ROCK,2016-06-01,9
13-MILE ROCK,2016-07-01,0
13-MILE ROCK,2016-08-01,12
13-MILE ROCK,2016-09-01,0
13-MILE ROCK,2016-10-01,10
13-MILE ROCK,2016-11-01,12
13-MILE ROCK,2016-12-01,1
13-MILE ROCK,2017-01-01,0
13-MILE ROCK,2017-02-01,0
13-MILE ROCK,2017-04-01,0
13-MILE ROCK,2017-05-01,0
13-MILE ROCK,2017-06-01,0
13-MILE ROCK,2017-09-01,8
13-MILE ROCK,2017-10-01,8
13-MILE ROCK,2017-11-01,2
13-MILE ROCK,2017-12-01,0
13-MILE ROCK,2018-01-01,0
13-MILE ROCK,2018-02-01,1
13-MILE ROCK,2018-03-01,12
13-MILE ROCK,2018-04-01,8
13-MILE ROCK,2018-05-01,10
13-MILE ROCK,2018-06-01,6
13-MILE ROCK,2018-07-01,5
13-MILE ROCK,2018-08-01,3
13-MILE ROCK,2018-09-01,3
13-MILE ROCK,2018-10-01,20
13-MILE ROCK,2018-11-01,5
13-MILE ROCK,2018-12-01,0
13-MILE ROCK,2019-01-01,0
13-MILE ROCK,2019-02-01,0
13-MILE ROCK,2019-03-01,41
13-MILE ROCK,2019-04-01,0
13-MILE ROCK,2019-05-01,1
13-MILE ROCK,2019-08-01,22
13-MILE ROCK,2019-09-01,1
13-MILE ROCK,2019-10-01,5
13-MILE ROCK,2019-11-01,9
13-MILE ROCK,2019-12-01,0
13-MILE ROCK,2020-01-01,0
13-MILE ROCK,2020-03-01,0
13-MILE ROCK,2020-05-01,0
13-MILE ROCK,2020-08-01,2
13-MILE ROCK,2020-09-01,6
13-MILE ROCK,2020-10-01,4
13-MILE ROCK,2020-11-01,14
13-MILE ROCK,2020-12-01,2
13-MILE ROCK,2021-01-01,8
13-MILE ROCK,2021-02-01,2
13-MILE ROCK,2021-03-01,7
13-MILE ROCK,2021-04-01,1
13-MILE ROCK,2021-05-01,1
13-MILE ROCK,2021-06-01,0
13-MILE ROCK,2021-07-01,3
26 BAR,2013-03-10,0
26 BAR,2013-03-17,0
26 BAR,2013-03-24,0
26 BAR,2013-04-07,0
26 BAR,2013-04-14,0
26 BAR,2013-04-21,0
26 BAR,2013-05-01,0
26 BAR,2013-05-08,0
26 BAR,2013-05-15,0
26 BAR,2013-06-01,0
26 BAR,2013-06-08,0
26 BAR,2013-06-15,0
26 BAR,2013-07-01,0
26 BAR,2013-07-08,0
26 BAR,2013-07-15,0
26 BAR,2013-08-01,0
26 BAR,2013-08-08,0
26 BAR,2013-08-15,0
26 BAR,2013-09-01,0
26 BAR,2013-09-08,0
26 BAR,2013-09-15,0
26 BAR,2013-10-01,0
26 BAR,2013-10-08,0
26 BAR,2013-10-15,0
26 BAR,2013-11-01,0
26 BAR,2013-11-08,0
26 BAR,2013-11-15,0
26 BAR,2014-03-01,0
26 BAR,2014-03-08,0
26 BAR,2014-03-15,0
26 BAR,2014-04-01,0
26 BAR,2014-04-08,0
26 BAR,2014-04-15,0
26 BAR,2014-05-01,0
26 BAR,2014-05-08,0
26 BAR,2014-05-15,0
26 BAR,2014-06-01,0
26 BAR,2014-06-08,0
26 BAR,2014-06-15,0
26 BAR,2014-07-01,0
26 BAR,2014-07-08,0
26 BAR,2014-07-15,0
26 BAR,2014-08-01,0
26 BAR,2014-08-08,0
26 BAR,2014-08-15,0
26 BAR,2014-09-01,0
26 BAR,2014-09-08,0
26 BAR,2014-09-15,0
26 BAR,2014-10-01,0
26 BAR,2014-10-08,0
26 BAR,2014-10-15,0
26 BAR,2014-11-01,0
26 BAR,2014-11-08,0
26 BAR,2014-11-15,0
26 BAR,2015-03-01,0
26 BAR,2015-04-01,0
26 BAR,2015-05-01,0
26 BAR,2015-06-01,0
26 BAR,2015-07-01,0
26 BAR,2015-08-01,0
26 BAR,2015-09-01,0
26 BAR,2015-10-01,0
26 BAR,2015-11-01,0
26 BAR,2016-03-01,0
26 BAR,2016-04-01,0
26 BAR,2016-05-01,0
26 BAR,2016-06-01,0
26 BAR,2016-07-01,0
26 BAR,2016-08-01,0
26 BAR,2016-09-01,0
26 BAR,2016-10-01,0
26 BAR,2016-11-01,0
26 BAR,2016-12-01,0
26 BAR,2017-01-01,0
26 BAR,2017-02-01,0
26 BAR,2017-04-01,0
26 BAR,2017-05-01,0
26 BAR,2017-06-01,0
26 BAR,2017-09-01,0
26 BAR,2017-10-01,0
26 BAR,2017-11-01,0
26 BAR,2017-12-01,0
26 BAR,2018-01-01,0
26 BAR,2018-02-01,0
26 BAR,2018-03-01,0
26 BAR,2018-04-01,0
26 BAR,2018-05-01,0
26 BAR,2018-06-01,0
26 BAR,2018-07-01,0
26 BAR,2018-08-01,0
26 BAR,2018-09-01,0
26 BAR,2018-10-01,0
26 BAR,2018-11-01,0
26 BAR,2018-12-01,0
26 BAR,2019-01-01,0
26 BAR,2019-02-01,0
26 BAR,2019-03-01,0
26 BAR,2019-04-01,0
26 BAR,2019-05-01,0
26 BAR,2019-08-01,0
26 BAR,2019-09-01,0
26 BAR,2019-10-01,0
26 BAR,2019-11-01,0
26 BAR,2019-12-01,0
26 BAR,2020-01-01,0
26 BAR,2020-03-01,0
26 BAR,2020-05-01,0
26 BAR,2020-08-01,0
26 BAR,2020-09-01,0
26 BAR,2020-10-01,0
26 BAR,2020-11-01,0
26 BAR,2020-12-01,0
26 BAR,2021-01-01,0
26 BAR,2021-02-01,0
26 BAR,2021-03-01,0
26 BAR,2021-04-01,0
26 BAR,2021-05-01,0
26 BAR,2021-06-01,0
26 BAR,2021-07-01,0
7/K,2013-03-10,0
7/K,2013-03-17,0
7/K,2013-03-24,0
7/K,2013-04-07,0
7/K,2013-04-14,0
7/K,2013-04-21,0
7/K,2013-05-01,0
7/K,2013-05-08,0
7/K,2013-05-15,0
7/K,2013-06-01,0
7/K,2013-06-08,0
7/K,2013-06-15,0
7/K,2013-07-01,0
7/K,2013-07-08,0
7/K,2013-07-15,0
7/K,2013-08-01,0
7/K,2013-08-08,0
7/K,2013-08-15,0
7/K,2013-09-01,0
7/K,2013-09-08,0
7/K,2013-09-15,0
7/K,2013-10-01,0
7/K,2013-10-08,0
7/K,2013-10-15,0
7/K,2013-11-01,0
7/K,2013-11-08,0
7/K,2013-11-15,0
7/K,2014-03-01,0
7/K,2014-03-08,0
7/K,2014-03-15,0
7/K,2014-04-01,0
7/K,2014-04-08,0
7/K,2014-04-15,0
7/K,2014-05-01,0
7/K,2014-05-08,0
7/K,2014-05-15,0
7/K,2014-06-01,0
7/K,2014-06-08,0
7/K,2014-06-15,0
7/K,2014-07-01,0
7/K,2014-07-08,0
7/K,2014-07-15,0
7/K,2014-08-01,0
7/K,2014-08-08,0
7/K,2014-08-15,0
7/K,2014-09-01,0
7/K,2014-09-08,0
7/K,2014-09-15,0
7/K,2014-10-01,0
7/K,2014-10-08,0
7/K,2014-10-15,0
7/K,2014-11-01,0
7/K,2014-11-08,0
7/K,2014-11-15,0
7/K,2015-03-01,0
7/K,2015-04-01,0
7/K,2015-05-01,0
7/K,2015-06-01,0
7/K,2015-07-01,0
7/K,2015-08-01,0
7/K,2015-09-01,0
7/K,2015-10-01,0
7/K,2015-11-01,0
7/K,2016-03-01,0
7/K,2016-04-01,0
7/K,2016-05-01,7
7/K,2016-06-01,0
7/K,2016-07-01,0
7/K,2016-08-01,0
7/K,2016-09-01,0
7/K,2016-10-01,0
7/K,2016-11-01,0
7/K,2016-12-01,0
7/K,2017-01-01,0
7/K,2017-02-01,0
7/K,2017-04-01,0
7/K,2017-05-01,7
7/K,2017-06-01,0
7/K,2017-09-01,0
7/K,2017-10-01,0
7/K,2017-11-01,0
7/K,2017-12-01,0
7/K,2018-01-01,0
7/K,2018-02-01,0
7/K,2018-03-01,0
7/K,2018-04-01,0
7/K,2018-05-01,0
7/K,2018-06-01,0
7/K,2018-07-01,0
7/K,2018-08-01,0
7/K,2018-09-01,0
7/K,2018-10-01,0
7/K,2018-11-01,0
7/K,2018-12-01,0
7/K,2019-01-01,0
7/K,2019-02-01,0
7/K,2019-03-01,0
7/K,2019-04-01,7
7/K,2019-05-01,0
7/K,2019-08-01,0
7/K,2019-09-01,0
7/K,2019-10-01,0
7/K,2019-11-01,0
7/K,2019-12-01,0
7/K,2020-01-01,0
7/K,2020-03-01,0
7/K,2020-05-01,0
7/K,2020-08-01,1
7/K,2020-09-01,0
7/K,2020-10-01,1
7/K,2020-11-01,0
7/K,2020-12-01,4
7/K,2021-01-01,2
7/K,2021-02-01,0
7/K,2021-03-01,1
7/K,2021-04-01,1
7/K,2021-05-01,0
7/K,2021-06-01,1
7/K,2021-07-01,0
A-1 MOUNTAIN,2013-03-10,0
A-1 MOUNTAIN,2013-03-17,0
A-1 MOUNTAIN,2013-03-24,0
A-1 MOUNTAIN,2013-04-07,7
A-1 MOUNTAIN,2013-04-14,7
A-1 MOUNTAIN,2013-04-21,7
A-1 MOUNTAIN,2013-05-01,0
A-1 MOUNTAIN,2013-05-08,0
A-1 MOUNTAIN,2013-05-15,0
A-1 MOUNTAIN,2013-06-01,0
A-1 MOUNTAIN,2013-06-08,0
A-1 MOUNTAIN,2013-06-15,0
A-1 MOUNTAIN,2013-07-01,0
A-1 MOUNTAIN,2013-07-08,0
A-1 MOUNTAIN,2013-07-15,0
A-1 MOUNTAIN,2013-08-01,0
A-1 MOUNTAIN,2013-08-08,0
A-1 MOUNTAIN,2013-08-15,0
A-1 MOUNTAIN,2013-09-01,0
A-1 MOUNTAIN,2013-09-08,0
A-1 MOUNTAIN,2013-09-15,0
A-1 MOUNTAIN,2013-10-01,0
A-1 MOUNTAIN,2013-10-08,0
A-1 MOUNTAIN,2013-10-15,0
A-1 MOUNTAIN,2013-11-01,0
A-1 MOUNTAIN,2013-11-08,0
A-1 MOUNTAIN,2013-11-15,0
A-1 MOUNTAIN,2014-03-01,0
A-1 MOUNTAIN,2014-03-08,0
A-1 MOUNTAIN,2014-03-15,0
A-1 MOUNTAIN,2014-04-01,0
A-1 MOUNTAIN,2014-04-08,0
A-1 MOUNTAIN,2014-04-15,0
A-1 MOUNTAIN,2014-05-01,0
A-1 MOUNTAIN,2014-05-08,0
A-1 MOUNTAIN,2014-05-15,0
A-1 MOUNTAIN,2014-06-01,7
A-1 MOUNTAIN,2014-06-08,7
A-1 MOUNTAIN,2014-06-15,7
A-1 MOUNTAIN,2014-07-01,0
A-1 MOUNTAIN,2014-07-08,0
A-1 MOUNTAIN,2014-07-15,0
A-1 MOUNTAIN,2014-08-01,0
A-1 MOUNTAIN,2014-08-08,0
A-1 MOUNTAIN,2014-08-15,0
A-1 MOUNTAIN,2014-09-01,0
A-1 MOUNTAIN,2014-09-08,0
A-1 MOUNTAIN,2014-09-15,0
A-1 MOUNTAIN,2014-10-01,0
A-1 MOUNTAIN,2014-10-08,0
A-1 MOUNTAIN,2014-10-15,0
A-1 MOUNTAIN,2014-11-01,7
A-1 MOUNTAIN,2014-11-08,7
A-1 MOUNTAIN,2014-11-15,7
A-1 MOUNTAIN,2015-03-01,0
A-1 MOUNTAIN,2015-04-01,0
A-1 MOUNTAIN,2015-05-01,0
A-1 MOUNTAIN,2015-06-01,0
A-1 MOUNTAIN,2015-07-01,0
A-1 MOUNTAIN,2015-08-01,0
A-1 MOUNTAIN,2015-09-01,0
A-1 MOUNTAIN,2015-10-01,0
A-1 MOUNTAIN,2015-11-01,0
A-1 MOUNTAIN,2016-03-01,2
A-1 MOUNTAIN,2016-04-01,0
A-1 MOUNTAIN,2016-05-01,0
A-1 MOUNTAIN,2016-06-01,0
A-1 MOUNTAIN,2016-07-01,2
A-1 MOUNTAIN,2016-08-01,1
A-1 MOUNTAIN,2016-09-01,0
A-1 MOUNTAIN,2016-10-01,1
A-1 MOUNTAIN,2016-11-01,1
A-1 MOUNTAIN,2016-12-01,0
A-1 MOUNTAIN,2017-01-01,0
A-1 MOUNTAIN,2017-02-01,0
A-1 MOUNTAIN,2017-04-01,0
A-1 MOUNTAIN,2017-05-01,0
A-1 MOUNTAIN,2017-06-01,0
A-1 MOUNTAIN,2017-09-01,0
A-1 MOUNTAIN,2017-10-01,0
A-1 MOUNTAIN,2017-11-01,0
A-1 MOUNTAIN,2017-12-01,0
A-1 MOUNTAIN,2018-01-01,0
A-1 MOUNTAIN,2018-02-01,0
A-1 MOUNTAIN,2018-03-01,4
A-1 MOUNTAIN,2018-04-01,0
A-1 MOUNTAIN,2018-05-01,2
A-1 MOUNTAIN,2018-06-01,0
A-1 MOUNTAIN,2018-07-01,0
A-1 MOUNTAIN,2018-08-01,0
A-1 MOUNTAIN,2018-09-01,0
A-1 MOUNTAIN,2018-10-01,0
A-1 MOUNTAIN,2018-11-01,0
A-1 MOUNTAIN,2018-12-01,0
A-1 MOUNTAIN,2019-01-01,0
A-1 MOUNTAIN,2019-02-01,0
A-1 MOUNTAIN,2019-03-01,7
A-1 MOUNTAIN,2019-04-01,0
A-1 MOUNTAIN,2019-05-01,3
A-1 MOUNTAIN,2019-08-01,1
A-1 MOUNTAIN,2019-09-01,0
A-1 MOUNTAIN,2019-10-01,0
A-1 MOUNTAIN,2019-11-01,1
A-1 MOUNTAIN,2019-12-01,0
A-1 MOUNTAIN,2020-01-01,0
A-1 MOUNTAIN,2020-03-01,0
A-1 MOUNTAIN,2020-05-01,0
A-1 MOUNTAIN,2020-08-01,0
A-1 MOUNTAIN,2020-09-01,1
A-1 MOUNTAIN,2020-10-01,1
A-1 MOUNTAIN,2020-11-01,2
A-1 MOUNTAIN,2020-12-01,1
A-1 MOUNTAIN,2021-01-01,4
A-1 MOUNTAIN,2021-02-01,0
A-1 MOUNTAIN,2021-03-01,4
A-1 MOUNTAIN,2021-04-01,0
A-1 MOUNTAIN,2021-05-01,0
A-1 MOUNTAIN,2021-06-01,1
A-1 MOUNTAIN,2021-07-01,3
A-CROSS,2013-03-10,7
A-CROSS,2013-03-17,7
A-CROSS,2013-03-24,7
A-CROSS,2013-04-07,0
A-CROSS,2013-04-14,0
A-CROSS,2013-04-21,0
A-CROSS,2013-05-01,0
A-CROSS,2013-05-08,0
A-CROSS,2013-05-15,0
A-CROSS,2013-06-01,0
A-CROSS,2013-06-08,0
A-CROSS,2013-06-15,0
A-CROSS,2013-07-01,0
A-CROSS,2013-07-08,0
A-CROSS,2013-07-15,0
A-CROSS,2013-08-01,0
A-CROSS,2013-08-08,0
A-CROSS,2013-08-15,0
A-CROSS,2013-09-01,0
A-CROSS,2013-09-08,0
A-CROSS,2013-09-15,0
A-CROSS,2013-10-01,7
A-CROSS,2013-10-08,7
A-CROSS,2013-10-15,7
A-CROSS,2013-11-01,0
A-CROSS,2013-11-08,0
A-CROSS,2013-11-15,0
A-CROSS,2014-03-01,0
A-CROSS,2014-03-08,0
A-CROSS,2014-03-15,0
A-CROSS,2014-04-01,0
A-CROSS,2014-04-08,0
A-CROSS,2014-04-15,0
A-CROSS,2014-05-01,0
A-CROSS,2014-05-08,0
A-CROSS,2014-05-15,0
A-CROSS,2014-06-01,0
A-CROSS,2014-06-08,0
A-CROSS,2014-06-15,0
A-CROSS,2014-07-01,0
A-CROSS,2014-07-08,0
A-CROSS,2014-07-15,0
A-CROSS,2014-08-01,0
A-CROSS,2014-08-08,0
A-CROSS,2014-08-15,0
A-CROSS,2014-09-01,0
A-CROSS,2014-09-08,0
A-CROSS,2014-09-15,0
A-CROSS,2014-10-01,7
A-CROSS,2014-10-08,7
A-CROSS,2014-10-15,7
A-CROSS,2014-11-01,0
A-CROSS,2014-11-08,0
A-CROSS,2014-11-15,0
A-CROSS,2015-03-01,0
A-CROSS,2015-04-01,0
A-CROSS,2015-05-01,0
A-CROSS,2015-06-01,0
A-CROSS,2015-07-01,0
A-CROSS,2015-08-01,0
A-CROSS,2015-09-01,0
A-CROSS,2015-10-01,0
A-CROSS,2015-11-01,0
A-CROSS,2016-03-01,0
A-CROSS,2016-04-01,0
A-CROSS,2016-05-01,0
A-CROSS,2016-06-01,0
A-CROSS,2016-07-01,0
A-CROSS,2016-08-01,0
A-CROSS,2016-09-01,0
A-CROSS,2016-10-01,0
A-CROSS,2016-11-01,0
A-CROSS,2016-12-01,0
A-CROSS,2017-01-01,0
A-CROSS,2017-02-01,0
A-CROSS,2017-04-01,0
A-CROSS,2017-05-01,0
A-CROSS,2017-06-01,0
A-CROSS,2017-09-01,0
A-CROSS,2017-10-01,0
A-CROSS,2017-11-01,0
A-CROSS,2017-12-01,0
A-CROSS,2018-01-01,0
A-CROSS,2018-02-01,0
A-CROSS,2018-03-01,0
A-CROSS,2018-04-01,0
A-CROSS,2018-05-01,0
A-CROSS,2018-06-01,0
A-CROSS,2018-07-01,0
A-CROSS,2018-08-01,0
A-CROSS,2018-09-01,0
A-CROSS,2018-10-01,0
A-CROSS,2018-11-01,0
A-CROSS,2018-12-01,0
A-CROSS,2019-01-01,0
A-CROSS,2019-02-01,0
A-CROSS,2019-03-01,0
A-CROSS,2019-04-01,0
A-CROSS,2019-05-01,0
A-CROSS,2019-08-01,0
A-CROSS,2019-09-01,0
A-CROSS,2019-10-01,0
A-CROSS,2019-11-01,0
A-CROSS,2019-12-01,0
A-CROSS,2020-01-01,0
A-CROSS,2020-03-01,0
A-CROSS,2020-05-01,0
A-CROSS,2020-08-01,0
A-CROSS,2020-09-01,0
A-CROSS,2020-10-01,0
A-CROSS,2020-11-01,0
A-CROSS,2020-12-01,0
A-CROSS,2021-01-01,2
A-CROSS,2021-02-01,0
A-CROSS,2021-03-01,1
A-CROSS,2021-04-01,0
A-CROSS,2021-05-01,1
A-CROSS,2021-06-01,0
A-CROSS,2021-07-01,0
A-DRAW,2013-03-10,0
A-DRAW,2013-03-17,0
A-DRAW,2013-03-24,0
A-DRAW,2013-04-07,0
A-DRAW,2013-04-14,0
A-DRAW,2013-04-21,0
A-DRAW,2013-05-01,0
A-DRAW,2013-05-08,0
A-DRAW,2013-05-15,0
A-DRAW,2013-06-01,0
A-DRAW,2013-06-08,0
A-DRAW,2013-06-15,0
A-DRAW,2013-07-01,0
A-DRAW,2013-07-08,0
A-DRAW,2013-07-15,0
A-DRAW,2013-08-01,0
A-DRAW,2013-08-08,0
A-DRAW,2013-08-15,0
A-DRAW,2013-09-01,0
A-DRAW,2013-09-08,0
A-DRAW,2013-09-15,0
A-DRAW,2013-10-01,0
A-DRAW,2013-10-08,0
A-DRAW,2013-10-15,0
A-DRAW,2013-11-01,0
A-DRAW,2013-11-08,0
A-DRAW,2013-11-15,0
A-DRAW,2014-03-01,0
A-DRAW,2014-03-08,0
A-DRAW,2014-03-15,0
A-DRAW,2014-04-01,0
A-DRAW,2014-04-08,0
A-DRAW,2014-04-15,0
A-DRAW,2014-05-01,0
A-DRAW,2014-05-08,0
A-DRAW,2014-05-15,0
A-DRAW,2014-06-01,0
A-DRAW,2014-06-08,0
A-DRAW,2014-06-15,0
A-DRAW,2014-07-01,0
A-DRAW,2014-07-08,0
A-DRAW,2014-07-15,0
A-DRAW,2014-08-01,0
A-DRAW,2014-08-08,0
A-DRAW,2014-08-15,0
A-DRAW,2014-09-01,0
A-DRAW,2014-09-08,0
A-DRAW,2014-09-15,0
A-DRAW,2014-10-01,0
A-DRAW,2014-10-08,0
A-DRAW,2014-10-15,0
A-DRAW,2014-11-01,0
A-DRAW,2014-11-08,0
A-DRAW,2014-11-15,0
A-DRAW,2015-03-01,0
A-DRAW,2015-04-01,0
A-DRAW,2015-05-01,0
A-DRAW,2015-06-01,0
A-DRAW,2015-07-01,0
A-DRAW,2015-08-01,0
A-DRAW,2015-09-01,0
A-DRAW,2015-10-01,0
A-DRAW,2015-11-01,0
A-DRAW,2016-03-01,0
A-DRAW,2016-04-01,0
A-DRAW,2016-05-01,0
A-DRAW,2016-06-01,0
A-DRAW,2016-07-01,0
A-DRAW,2016-08-01,0
A-DRAW,2016-09-01,0
A-DRAW,2016-10-01,0
A-DRAW,2016-11-01,0
A-DRAW,2016-12-01,0
A-DRAW,2017-01-01,0
A-DRAW,2017-02-01,0
A-DRAW,2017-04-01,0
A-DRAW,2017-05-01,0
A-DRAW,2017-06-01,0
A-DRAW,2017-09-01,0
A-DRAW,2017-10-01,0
A-DRAW,2017-11-01,0
A-DRAW,2017-12-01,0
A-DRAW,2018-01-01,0
A-DRAW,2018-02-01,0
A-DRAW,2018-03-01,0
A-DRAW,2018-04-01,0
A-DRAW,2018-05-01,0
A-DRAW,2018-06-01,0
A-DRAW,2018-07-01,0
A-DRAW,2018-08-01,0
A-DRAW,2018-09-01,0
A-DRAW,2018-10-01,0
A-DRAW,2018-11-01,0
A-DRAW,2018-12-01,0
A-DRAW,2019-01-01,0
A-DRAW,2019-02-01,0
A-DRAW,2019-03-01,0
A-DRAW,2019-04-01,0
A-DRAW,2019-05-01,0
A-DRAW,2019-08-01,0
A-DRAW,2019-09-01,0
A-DRAW,2019-10-01,0
A-DRAW,2019-11-01,0
A-DRAW,2019-12-01,0
A-DRAW,2020-01-01,0
A-DRAW,2020-03-01,0
A-DRAW,2020-05-01,0
A-DRAW,2020-08-01,0
A-DRAW,2020-09-01,0
A-DRAW,2020-10-01,0
A-DRAW,2020-11-01,0
A-DRAW,2020-12-01,0
A-DRAW,2021-01-01,0
A-DRAW,2021-02-01,0
A-DRAW,2021-03-01,0
A-DRAW,2021-04-01,0
A-DRAW,2021-05-01,0
A-DRAW,2021-06-01,0
A-DRAW,2021-07-01,0
AD BAR HOGTRAIL,2013-03-10,0
AD BAR HOGTRAIL,2013-03-17,0
